address,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Zip,ACS Economics/Median household income/Total/Value,ACS Economics/Median household income/Total/Margin of error,ACS Demographics/Median age/Total/Value,ACS Demographics/Median age/Total/Margin of error,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: White alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Black or African American alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: American Indian and Alaska Native alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Asian alone/Percentage,ACS Demographics/Race and ethnicity/Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone/Percentage
"100 Cutting Blvd ,Richmond,Contra Costa County",37.922339,-122.369192,0.95,rooftop,Richmond,CA,Contra Costa County,94804.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"South of Interstate 580, off the Richmond Bridge, just North of Point Richmond (Tank Farm),Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"841 Chevron Way ,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"2377 Garden Tract Rd,Richmond,Contra Costa County",37.966832,-122.376261,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,55625.0,23524.0,29.3,3.9,0.381,0.398,0.0,0.088,0.0
"647 South 13th Street,Richmond,Contra Costa County",37.923078,-122.357261,1.0,rooftop,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"Meeker Ave at Marina Bay Parkway,Richmond,Contra Costa County",37.920425,-122.347192,0.35,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"4700 Hartnett Ave,Richmond,Contra Costa County",37.916623,-122.32697,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,37667.0,19582.0,33.4,3.7,0.106,0.664,0.0,0.128,0.013
"South 23rd Street, Cutting Blvd,Richmond,Contra Costa County",37.924565,-122.347518,1.0,street_center,Richmond,CA,Contra Costa County,94804.0,37214.0,13731.0,20.8,9.9,0.0,0.445,0.0,0.141,0.0
"2761 Rollingwood Drive,Richmond,Contra Costa County",37.965659,-122.334437,1.0,rooftop,San Pablo,CA,Contra Costa County,94806.0,137250.0,21823.0,35.0,7.2,0.064,0.102,0.0,0.763,0.0
"1340 MARINA WAY SOUTH ,Richmond,Contra Costa County",37.917326,-122.355774,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"1340 Marina Way South,Richmond,Contra Costa County",37.917326,-122.355774,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,107880.0,52395.0,39.9,3.9,0.336,0.414,0.0,0.132,0.017
"Marina Way South and Cutting Blvd,Richmond,Contra Costa County",37.925204,-122.355873,1.0,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Pearson Avenue and Marina Way south,Richmond,Contra Costa County",37.917459,-122.355923,0.32,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"4700 Hartnet Avenue ,Richmond,Contra Costa County",37.916623,-122.32697,1.0,range_interpolation,Richmond,CA,Contra Costa County,94804.0,37667.0,19582.0,33.4,3.7,0.106,0.664,0.0,0.128,0.013
"Neeker Ave and Marina Way South,Richmond,Contra Costa County",37.919479,-121.951543,0.4,county,,CA,Contra Costa County,,,,,,,,,,
"Harbor Way South and Cutting Blvd,Richmond,Contra Costa County",37.925213,-122.360055,0.95,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"23rd Street and Cutting Blvd,Richmond,Contra Costa County",37.925193,-122.347665,0.8,intersection,Richmond,CA,Contra Costa County,94804.0,,,,,,,,,
"Dornan Tunnel,Richmond,Contra Costa County",37.921193,-122.385733,1.0,street_center,Richmond,CA,Contra Costa County,94801.0,169688.0,62451.0,56.1,7.2,0.75,0.038,0.0,0.165,0.0
"525 Castro Street,Richmond,Contra Costa County",38.018009,-122.13846,1.0,range_interpolation,Martinez,CA,Contra Costa County,94553.0,35729.0,22499.0,42.4,3.4,0.608,0.236,0.0,0.037,0.0
"I-580,  East of Central Ave, Mile Post 8.63 of the Martinez Sub ,Richmond,Contra Costa County",37.84603,-122.283696,0.7,street_center,Emeryville,CA,Alameda County,94608.0,84784.0,55327.0,34.3,4.8,0.575,0.394,0.0,0.031,0.0
"5533 Madison Ave.,Richmond,Contra Costa County",37.918136,-122.316686,0.9,rooftop,Richmond,CA,Contra Costa County,94804.0,64191.0,36477.0,31.9,2.8,0.58,0.051,0.0,0.246,0.0
"Mile Post 1189, Stockton Sub,Richmond,Contra Costa County",37.910296,-122.299762,0.7,street_center,El Cerrito,CA,Contra Costa County,94530.0,130564.0,53924.0,42.0,2.4,0.598,0.022,0.0,0.283,0.033
"841 Chevron way ,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"MP 13.59, Martinez Sub,Richmond,Contra Costa County",37.914502,-122.313686,0.6,street_center,Richmond,CA,Contra Costa County,94804.0,64191.0,36477.0,31.9,2.8,0.58,0.051,0.0,0.246,0.0
"2300 Lancaster Dr, Bay Cliff Apartments,Richmond,Contra Costa County",37.972925,-122.340557,0.88,nearest_rooftop_match,San Pablo,CA,Contra Costa County,94806.0,42241.0,14061.0,31.3,6.6,0.087,0.594,0.0,0.174,0.049
"37.942222, -122.395278,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Corner of Center Court and Giant Highway,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"Richmond Refinery - 841 Chevron Way ,Richmond,Contra Costa County",37.92948,-122.386683,0.7,street_center,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"1601 Atlas Rd,Richmond,Contra Costa County",37.996643,-122.341595,0.9,rooftop,San Pablo,CA,Contra Costa County,94806.0,64097.0,20363.0,37.3,8.7,0.155,0.823,0.0,0.023,0.0
"525 Castro St,Richmond,Contra Costa County",38.018009,-122.13846,1.0,range_interpolation,Martinez,CA,Contra Costa County,94553.0,35729.0,22499.0,42.4,3.4,0.608,0.236,0.0,0.037,0.0
"2055 STENMARK DRIVE (POINT OF SAN PABLO),Richmond,Contra Costa County",37.960711,-122.418807,0.64,nearest_rooftop_match,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"LAT/ 37.96552 N // LON 122.42817W,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"980 Hensley Street, Richmond, CA,Richmond,Contra Costa County",37.94552,-122.366808,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"MP: 13.8 SUB: Martinez ,Richmond,Contra Costa County",37.931546,-122.361991,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,56053.0,35670.0,35.2,15.5,0.166,0.343,0.118,0.31,0.0
"MP 13.8 of the Martinez Sub,Richmond,Contra Costa County",37.931546,-122.361991,1.0,range_interpolation,Richmond,CA,Contra Costa County,94801.0,56053.0,35670.0,35.2,15.5,0.166,0.343,0.118,0.31,0.0
"303 South Garrard Boulevard,Richmond,Contra Costa County",37.933892,-122.377516,1.0,rooftop,Richmond,CA,Contra Costa County,94801.0,112989.0,12803.0,45.4,3.8,0.852,0.006,0.0,0.039,0.0
"Richmond 11 Berth ,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
"901 west Cottomn Blvd,Richmond,Contra Costa County",37.919479,-121.951543,1.0,county,,CA,Contra Costa County,,,,,,,,,,
